latitude;longitude;date
-2.145;112.544;39448
-2.72;111.617;39448
-2.554;110.277;39448
-0.553;117.037;39449
-0.462;117.583;39454
-1.517;110.292;39455
-2.399;111.517;39455
-2.66;110.285;39455
-0.219;109.527;39455
-2.727;110.756;39457
-2.729;110.765;39457
-2.736;110.755;39457
-2.738;110.764;39457
-2.602;112.702;39457
-2.755;111.613;39457
-2.437;112.328;39457
-2.001;112.798;39457
-1.517;110.277;39457
0.355;109.016;39457
-3;114.841;39459
-3.001;114.85;39459
-2.923;113.442;39459
-2.848;112.333;39459
-3.604;115.422;39459
-3.132;116.163;39459
-3.038;114.801;39459
2.157;117.496;39459
-0.094;109.463;39460
-0.182;109.271;39460
-0.184;109.287;39460
-1.625;110.535;39460
-1.618;110.529;39460
-0.207;109.482;39460
0.37;109.087;39460
1.319;109.579;39460
-0.114;109.315;39461
-0.115;109.31;39461
1.355;109.589;39461
1.426;109.71;39461
1.424;109.7;39461
-2.567;114.976;39461
1.43;109.7;39461
1.428;109.716;39461
1.462;109.666;39462
1.452;109.664;39462
1.449;109.685;39462
1.448;109.695;39462
1.439;109.684;39462
1.438;109.694;39462
1.432;109.736;39462
1.427;109.703;39462
1.43;109.654;39462
1.429;109.665;39462
1.424;109.696;39462
1.423;109.706;39462
1.421;109.653;39462
1.419;109.663;39462
1.361;109.592;39462
1.352;109.59;39462
1.35;109.601;39462
1.347;109.594;39462
0.681;109.047;39462
0.337;109.05;39462
-0.163;109.311;39462
-0.189;109.269;39462
-1.089;110.325;39462
-1.815;111.537;39462
-1.817;111.553;39462
-2.036;111.243;39462
-2.479;111.135;39462
1.292;109.591;39462
1.289;109.585;39462
1.428;109.706;39462
-2.116;110.4;39462
-2.118;110.391;39462
-2.058;110.745;39462
-1.844;110.38;39462
-1.845;110.371;39462
-1.783;110.352;39462
-1.726;110.172;39462
-1.479;110.293;39462
-0.474;109.599;39462
-0.475;109.59;39462
-0.401;109.4;39462
-0.206;109.351;39462
-0.19;109.267;39462
-0.181;109.269;39462
-0.13;109.307;39462
-0.118;109.323;39462
-0.119;109.314;39462
-0.121;109.306;39462
-0.11;109.313;39462
0.013;109.717;39462
0.333;109.127;39462
0.372;109.08;39462
0.419;109.028;39462
0.652;108.975;39462
0.651;108.966;39462
1.008;109.081;39462
1.356;109.588;39462
1.416;109.689;39462
1.421;109.661;39462
1.42;109.652;39462
1.444;109.688;39462
1.437;109.122;39462
1.426;109.701;39462
1.424;109.718;39462
1.291;109.588;39462
1.297;109.584;39462
4.022;117.72;39463
1.284;109.592;39463
1.285;109.587;39463
1.465;109.789;39464
1.456;109.659;39464
1.455;109.668;39464
1.452;109.686;39464
1.444;109.676;39464
1.443;109.685;39464
1.438;109.656;39464
1.437;109.665;39464
1.428;109.728;39464
1.43;109.646;39464
1.429;109.655;39464
1.428;109.664;39464
1.421;109.709;39464
1.421;109.645;39464
1.419;109.663;39464
1.366;109.585;39464
0.37;109.09;39464
-0.093;109.479;39464
-0.532;111.762;39464
-0.174;109.278;39464
-0.428;109.631;39464
-0.43;109.64;39464
-0.47;109.6;39464
-0.545;109.301;39464
-1.81;111.554;39464
-1.819;111.553;39464
-1.824;111.546;39464
-1.825;111.556;39464
-2.496;110.47;39464
-2.544;110.803;39464
1.302;109.577;39464
1.361;109.568;39464
