latitude;longitude;date
-2.825;104.08;37387
-3.569;105.207;37398
-3.57;105.216;37398
-2.82;104.081;37405
-3.599;105.177;37405
-3.601;105.186;37405
-3.71;103.788;37410
-2.95;105.746;37412
-2.952;105.756;37412
-3.326;104.536;37414
-3.328;104.546;37414
-2.798;103.448;37428
-3.565;105.211;37432
-3.161;104.505;37433
-3.844;104.407;37435
-3.845;104.418;37435
-4.157;104.528;37435
-3.468;104.562;37437
-3.563;105.206;37437
-3.593;105.158;37437
-3.666;104.968;37437
-3.679;104.993;37437
-3.681;104.756;37437
-3.497;103.33;37437
-3.94;104.947;37437
-3.567;105.21;37439
-3.725;104.866;37458
-3.737;104.865;37458
-3.749;104.785;37458
-3.789;103.537;37458
-4.03;104.19;37458
-4.033;104.198;37458
-3.3;104.571;37460
-3.301;104.58;37460
-3.819;104.344;37460
-2.821;104.081;37462
-3.399;103.379;37462
-2.747;105.59;37469
-3.705;103.781;37473
-2.716;105.004;37474
-3.389;105.438;37474
-3.904;104.17;37474
-2.006;104.04;37476
-2.362;104.084;37476
-2.802;103.444;37476
-2.804;103.453;37476
-2.822;103.514;37476
-3.801;105.179;37476
-3.81;105.177;37476
-3.854;104.712;37476
-3.874;104.411;37476
-3.963;104.7;37476
-3.965;104.71;37476
-3.809;105.175;37478
-3.81;105.184;37478
-2.838;104.656;37479
-3.614;104.537;37479
-3.563;103.87;37479
-3.879;104.483;37479
-3.883;104.516;37479
-3.886;104.475;37479
-3.891;104.509;37479
-3.951;104.235;37479
-3.944;104.23;37479
-2.162;103.897;37483
-2.164;103.907;37483
-2.172;103.896;37483
-2.173;103.906;37483
-2.205;103.956;37483
-2.208;103.915;37483
-2.213;103.945;37483
-2.424;104.271;37483
-2.426;104.282;37483
-2.434;104.27;37483
-2.435;104.28;37483
-2.446;104.215;37483
-2.455;104.213;37483
-2.48;104.178;37483
-2.519;104.22;37483
-2.714;105.012;37483
-2.901;105.609;37483
-2.815;104.652;37483
-2.8;103.425;37483
-2.802;103.435;37483
-2.803;103.444;37483
-3.08;104.642;37483
-3.081;104.654;37483
-3.115;104.812;37483
-3.116;104.824;37483
-2.86;103.011;37483
-2.861;103.02;37483
-3.083;104.528;37483
-3.127;104.822;37483
-3.103;104.593;37483
-3.122;104.718;37483
-3.137;104.821;37483
-3.12;104.712;37483
-3.135;104.815;37483
-3.136;104.827;37483
-3.13;104.71;37483
-3.14;104.709;37483
-3.142;104.72;37483
-3.141;104.502;37483
-3.182;104.715;37483
-3.186;104.599;37483
-3.187;104.61;37483
-3.259;105.026;37483
-3.02;103.101;37483
-3.341;104.541;37483
-3.376;104.71;37483
-3.224;103.374;37483
-3.226;103.383;37483
-3.243;103.371;37483
-3.499;104.645;37483
-3.612;104.577;37483
-3.717;105.232;37483
-3.672;104.78;37483
-3.657;104.606;37483
-3.8;105.176;37483
-3.743;104.705;37483
-3.753;104.775;37483
-3.755;104.787;37483
-3.703;104.364;37483
-3.765;104.785;37483
-3.611;103.505;37483
-3.786;104.728;37483
-3.788;104.74;37483
-3.841;105.113;37483
-4.077;104.191;37483
-4.079;104.202;37483
-2.174;103.818;37485
-2.175;103.827;37485
-2.187;103.909;37485
-2.518;104.651;37485
-2.52;104.659;37485
-2.682;105.265;37485
-2.674;104.15;37485
-2.683;104.149;37485
-2.899;105.609;37485
-2.902;105.571;37485
-2.925;105.726;37485
-2.934;105.725;37485
-2.936;105.734;37485
-2.798;103.432;37485
-2.828;103.513;37485
-3.149;104.869;37485
-3.159;104.813;37485
-3.18;104.458;37485
-3.315;104.933;37485
-3.285;104.664;37485
-3.258;104.422;37485
-3.259;104.431;37485
-3.535;104.926;37485
-3.591;104.802;37485
-3.686;105.2;37485
-3.622;104.454;37485
-3.707;104.907;37485
-3.709;104.916;37485
-3.539;103.519;37485
-3.843;104.267;37485
-3.979;104.941;37485
-4.138;105.016;37485
-2.249;103.967;37486
-3.316;104.453;37486
